Ranking,team_id,name,acronym,slug,region,elo
1,100205573495116443,Gen.G,GEN,geng,LCK,2143.730436235487
2,99566404579461230,kt Rolster,KT,kt-rolster,LCK,2013.92933657487
3,99566404852189289,Beijing JDG Intel Esports Club,JDG,jd-gaming,LPL,1986.9360410190286
4,98767991853197861,T1,T1,t1,LCK,1977.8240083451435
5,99566404853854212,Bilibili Gaming Pingan Bank,BLG,bilibili-gaming,LPL,1922.7244860748053
6,99566404850008779,Suzhou LNG Esports,LNG,lng-esports,LPL,1832.1558116321908
7,100725845018863243,Dplus Kia,DK,dwg-kia,LCK,1799.3841955934665
8,100205573496804586,Hanwha Life Esports,HLE,hanwha-life-esports,LCK,1798.0375223776118
9,98767991926151025,G2 Esports,G2,g2-esports,LEC,1766.5304609546229
10,99566404853058754,WeiboGaming FAW AUDI,WBG,weibo-gaming,LPL,1751.8551140578647
11,98767991892579754,Royal Never Give Up,RNG,royal-never-give-up,LPL,1741.6048527511846
12,98767991877340524,Cloud9,C9,cloud9,LCS,1723.9369620808627
13,99566404854685458,TOP ESPORTS,TES,top-esports,LPL,1698.6292551542651
14,98767991882270868,SHANGHAI EDWARD GAMING HYCAN,EDG,edward-gaming,LPL,1667.5125875909634
15,99566404848691211,Invictus Gaming,IG,invictus-gaming,LPL,1604.4572200536884
16,99294153824386385,Golden Guardians,GG,golden-guardians,LCS,1594.631424711109
17,100725845022060229,Liiv SANDBOX,LSB,liiv-sandbox,LCK,1580.5963875630707
18,104016416551172375,Seorabeol Gaming,SRB,seorabeol-gaming,LCK,1577.5036980037287
19,98926509885559666,Team Liquid Honda,TL,team-liquid,LCS,1570.4150365470289
20,99566404585387054,DRX,DRX,drx,LCK,1562.875344102367
21,99566404855553726,FunPlus Phoenix,FPX,funplus-phoenix,LPL,1560.7674843566563
22,106972778172351142,NRG,NRG,nrg-esports,LCS,1554.3869668846464
23,103461966951059521,Evil Geniuses LG,EG,evil-geniuses,LCS,1544.393794918856
24,99871276356460471,Griffin,GFF,griffin,LCK,1543.5314996555182
25,103461966965149786,MAD Lions,MAD,mad-lions,LEC,1536.2576689283583
26,102747101562758215,SeolHaeOne Prince,SP,apk-prince,LCK,1522.8389365597227
27,102235771678061291,DenizBank İstanbul Wildcats,IW,fastpay-wildcats,TCL,1503.2239955605564
28,104367068120825486,PSG Talon,PSG,psg-talon,PCS,1489.4796776030792
29,105505619546859895,OKSavingsBank BRION,BRO,fredit-brion,LCK,1486.6624365015273
30,98767991866488695,Fnatic,FNC,fnatic,LEC,1477.1313630637103
31,99566404846951820,LGD GAMING,LGD,lgd-gaming,LPL,1475.5743347631835
32,99566404581868574,Kwangdong Freecs,KDF,kwangdong-freecs,LCK,1467.4002217325835
33,102747101565183056,NongShim REDFORCE,NS,nongshim-redforce,LCK,1461.121047416628
34,107563714667537640,Team BDS,BDS,team-bds,LEC,1437.1472029750742
35,100285330168091787,DetonatioN FocusMe,DFM,detonation-focusme,LJL,1430.2383566107308
36,99294153828264740,100 Thieves,100,100-thieves,LCS,1422.2567490566475
37,98926509892121852,FlyQuest,FLY,flyquest,LCS,1417.4076539661799
38,101383793574360315,KOI,KOI,rogue,LEC,1413.0126697639955
39,105536918475957734,Macko Esports,MCK,macko-esports,PG Nationals,1391.337976249751
40,98767991860392497,TSM,TSM,tsm,LCS,1387.2301868356635
41,105504044166670507,Unicorns of Love Sexy Edition,USE,unicorns-of-love-sexy-edition,Prime League,1384.7166062354092
42,98767991935149427,Movistar R7,R7,rainbow7,LLA,1380.1330951875443
43,105397404796640412,LOUD,LLL,loud,CBLOL,1378.284480200926
44,105559480124455983,SK Gaming Prime,SKP,sk-gaming-prime,Prime League,1373.6330411579738
45,101383793572656373,EXCEL,XL,excel,LEC,1371.441080025021
46,106269804045322803,Beyond Gaming,BYG,mega-bank-beyond-gaming,PCS,1362.9445406081165
47,105521706535388095,Anorthosis Famagusta Esports,ANO,anorthosis-famagusta-esports,Greek Legends League,1360.3348641311109
48,98926509884398584,CLG,CLG,clg,LCS,1360.0625905133402
49,98767991940181526,Misfits Gaming,MSF,misfits-gaming,LEC,1356.573655223189
50,107575082591536093,Entropiq,EIQ,entropiq,Hitpoint Masters,1355.167467920626
51,107700199633958891,CTBC Flying Oyster,CFO,ctbc-flying-oyster,PCS,1354.4302052600715
52,109637393694097670,Team Heretics,TH,team-heretics-lec,LEC,1350.0927291919893
53,101383793567806688,SK Gaming,SK,sk-gaming,LEC,1332.205543934235
54,99322214695067838,Team Vitality,VIT,team-vitality,LEC,1324.0436207600526
55,105550026570060790,DK Challengers,DK,dwg-kia-challengers,LCK Challengers,1321.2645904412152
56,105593951536470384,GTZ Esports,GTZ,gtz-bulls,Liga Portuguesa,1318.9222800488092
57,103535282119620510,Fukuoka SoftBank HAWKS gaming,SHG,fukuoka-softbank-hawks-gaming,LJL,1304.0087860967178
58,98926509883054987,Dignitas,DIG,dignitas,LCS,1295.3413379796743
59,102787200149928963,WLGaming Esports,WLG,we-love-gaming,Greek Legends League,1286.632761277438
60,103877625775457850,Movistar Riders,MRS,movistar-riders,SuperLiga,1286.0305906960864
